personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Pradip Burman;1100.00.00;India;Consumer goods;Food & Beverage;FALSE;2405;80.00.00;M;;
Cai Hongbin;1100.00.00;China;Pharmaceuticals;Healthcare;TRUE;2405;;M;;
Cao Kejian;1100.00.00;China;Air compressors;Manufacturing;TRUE;2405;60.00.00;M;;
Giuliana Caprotti;1100.00.00;Italy;Supermarkets;Food & Beverage;FALSE;2405;82.00.00;F;;
Marina Caprotti;1100.00.00;Italy;Supermarkets;Food & Beverage;FALSE;2405;45.00.00;F;;
Chang Jing;1100.00.00;China;Technology;Technology;TRUE;2405;40.00.00;M;;
Chen Baohua;1100.00.00;China;Pharmaceutical;Healthcare;TRUE;2405;61.00.00;M;;
Gang Chen;1100.00.00;China;Solar energy;Energy;TRUE;2405;55.00.00;M;;
Liying Chen;1100.00.00;China;Package delivery;Logistics;TRUE;2405;47.00.00;F;;
Tony Chen;1100.00.00;Taiwan;Electronics;Technology;TRUE;2405;73.00.00;M;;
Chen Xueling;1100.00.00;China;Stationery;Manufacturing;TRUE;2405;55.00.00;F;;
Cheng Lili;1100.00.00;China;Poultry breeding;Food & Beverage;TRUE;2405;58.00.00;M;;
Cho Jyh-jer;1100.00.00;;Semiconductors;Technology;TRUE;2405;;M;;
Weili Dai;1100.00.00;United States;Semiconductors;Technology;TRUE;2405;61.00.00;F;Cofounder-President;
Carmen Daurella Aguilera;1100.00.00;Spain;Coca-Cola bottler;Food & Beverage;FALSE;2405;;F;;
Deng Yingzhong;1100.00.00;China;Paper;Manufacturing;TRUE;2405;72.00.00;M;;
Shlomo Eliahu;1100.00.00;Israel;Insurance;Finance & Investments;TRUE;2405;87.00.00;M;;
Henry Engelhardt;1100.00.00;United Kingdom;Insurance;Finance & Investments;TRUE;2405;65.00.00;M;Chief Executive Officer;
Gabriel Escarrer;1100.00.00;Spain;Hotels;Service;TRUE;2405;88.00.00;M;;
Daniel Feffer;1100.00.00;Brazil;Pulp and paper;Manufacturing;FALSE;2405;63.00.00;M;;
Ruben Feffer;1100.00.00;Brazil;Pulp and paper;Manufacturing;FALSE;2405;53.00.00;M;;
Gleb Fetisov;1100.00.00;Cyprus;Investments;Telecom;TRUE;2405;56.00.00;M;;
Paul Fireman;1100.00.00;United States;Reebok;Fashion & Retail;TRUE;2405;79.00.00;M;;
Robert Fisher;1100.00.00;United States;Gap;Fashion & Retail;FALSE;2405;69.00.00;M;Chairman of the Board;
Bernd Freier;1100.00.00;Germany;Fashion retail;Fashion & Retail;TRUE;2405;66.00.00;M;;
Donald Friese;1100.00.00;United States;Manufacturing;Manufacturing;TRUE;2405;82.00.00;M;;
Gan Zhongru;1100.00.00;China;Pharmaceuticals;Healthcare;TRUE;2405;74.00.00;M;;
Rahul Gautam;1100.00.00;India;Mattresses;Fashion & Retail;FALSE;2405;70.00.00;M;;
David Golub;1100.00.00;United States;Private equity;Finance & Investments;TRUE;2405;60.00.00;M;Investor;
Pavel Golubkov;1100.00.00;Russia;Building, development;Real Estate;TRUE;2405;47.00.00;M;;
Cristina Green;1100.00.00;United Kingdom;Fashion retail;Fashion & Retail;TRUE;2405;;F;;
Philip Green;1100.00.00;United Kingdom;Fashion retail;Fashion & Retail;TRUE;2405;;M;;
Said Gutseriev;1100.00.00;United Kingdom;Retail, investments;Energy;FALSE;2405;34.00.00;M;;
Polys Haji-Ioannou;1100.00.00;Monaco;EasyJet;Service;FALSE;2405;63.00.00;M;;
He Zuxun;1100.00.00;China;Pig breeding;Food & Beverage;TRUE;2405;57.00.00;M;;
