personName;finalWorth;country;source;category;selfMade;rank;age;gender;title;
Stewart Resnick;5300.00.00;United States;Agriculture;Food & Beverage;TRUE;497;86.00.00;M;;
Gary Rollins;5300.00.00;United States;Pest control;Service;FALSE;497;78.00.00;M;;
Mark Walter;5300.00.00;United States;Finance, asset management;Finance & Investments;TRUE;497;62.00.00;M;CEO;
Ronald Wanek;5300.00.00;United States;Furniture;Manufacturing;TRUE;497;81.00.00;M;;
Erich Wesjohann & family;5300.00.00;Germany;Poultry genetics;Food & Beverage;TRUE;497;77.00.00;M;;
M.A. Yusuff Ali;5300.00.00;United Arab Emirates;Retail;Fashion & Retail;TRUE;497;67.00.00;M;;
Alexandre Behring;5200.00.00;United States;Investments;Finance & Investments;TRUE;511;56.00.00;M;;
Cheng Xue;5200.00.00;China;Soy sauce;Food & Beverage;TRUE;511;53.00.00;F;;
Robert Faith;5200.00.00;United States;Real estate management;Real Estate;TRUE;511;59.00.00;M;;
Gao Dekang & family;5200.00.00;China;Apparel;Fashion & Retail;TRUE;511;71.00.00;M;;
Micky Jagtiani;5200.00.00;United Arab Emirates;Retail;Fashion & Retail;FALSE;511;71.00.00;M;;
Ananda Krishnan;5200.00.00;Malaysia;Telecoms, media, oil-services;Telecom;TRUE;511;85.00.00;M;;
Barry Lam;5200.00.00;Taiwan;Electronics;Technology;TRUE;511;73.00.00;M;;
Robert Rich; Jr.;5200.00.00;United States;Frozen foods;Food & Beverage;FALSE;511;82.00.00;M;
Mark Scheinberg;5200.00.00;United Kingdom;Online gambling;Gambling & Casinos;TRUE;511;49.00.00;M;;
Charles Simonyi;5200.00.00;United States;Microsoft;Technology;TRUE;511;74.00.00;M;;
Ty Warner;5200.00.00;United States;Plush toys, real estate;Real Estate;TRUE;511;78.00.00;M;;
Sam Zell;5200.00.00;United States;Real estate, private equity;Real Estate;TRUE;511;81.00.00;M;;
Fang Wei;5100.00.00;China;Steel;Manufacturing;TRUE;523;49.00.00;M;;
Rekha Jhunjhunwala;5100.00.00;India;Investments;Finance & Investments;FALSE;523;59.00.00;F;;
Charles B. Johnson;5100.00.00;United States;Franklin Templeton;Finance & Investments;FALSE;523;90.00.00;M;Former Chairman and CEO;
Kwon Hyuk-bin;5100.00.00;South Korea;Online games;Media & Entertainment;TRUE;523;49.00.00;M;;
Sami Mnaymneh;5100.00.00;United States;Private equity;Finance & Investments;TRUE;523;61.00.00;M;;
Kjell Inge Rokke;5100.00.00;Norway;Shipping, seafood;Logistics;TRUE;523;64.00.00;M;;
Tony Tamer;5100.00.00;United States;Private equity;Finance & Investments;TRUE;523;65.00.00;M;;
Tse Ping & family;5100.00.00;Hong Kong;Pharmaceuticals;Healthcare;TRUE;523;71.00.00;M;;
Romesh T. Wadhwani;5100.00.00;United States;Software;Technology;TRUE;523;75.00.00;M;Founder and Chairman;
Hansjoerg Wyss;5100.00.00;United States;Medical devices;Healthcare;TRUE;523;88.00.00;M;;
Denise York & family;5100.00.00;United States;San Francisco 49ers;Sports;FALSE;523;72.00.00;F;Co-Chairman;
Ron Baron;5000.00.00;United States;Money management;Finance & Investments;TRUE;534;79.00.00;M;;
Robert Bass;5000.00.00;United States;Oil, investments;Energy;FALSE;534;75.00.00;M;;
Dona Bertarelli;5000.00.00;Switzerland;Biotech and investments;Healthcare;FALSE;534;55.00.00;F;;
Alexander Gerko;5000.00.00;United Kingdom;Trading;Finance & Investments;TRUE;534;43.00.00;M;;
Martin Haefner;5000.00.00;Switzerland;Software, investments;Technology;FALSE;534;69.00.00;M;;
Robert Hale; Jr.;5000.00.00;United States;Telecom;Telecom;TRUE;534;56.00.00;M;
Viktor Kharitonin;5000.00.00;Russia;Pharmaceuticals;Healthcare;TRUE;534;50.00.00;M;;
Kim Beom-su;5000.00.00;South Korea;Online services;Technology;TRUE;534;57.00.00;M;;
Jane Lauder;5000.00.00;United States;Estée Lauder;Fashion & Retail;FALSE;534;50.00.00;F;;
Michel Leclercq & family;5000.00.00;France;Sporting goods;Fashion & Retail;FALSE;534;83.00.00;M;;
George Lucas;5000.00.00;United States;Star Wars;Media & Entertainment;TRUE;534;78.00.00;M;;
Janice McNair;5000.00.00;United States;Energy, sports;Sports;FALSE;534;86.00.00;F;;
Ugur Sahin;5000.00.00;Germany;Biotechnology;Healthcare;TRUE;534;57.00.00;M;;
Alexandra Schoerghuber & family;5000.00.00;Germany;Real estate;Real Estate;FALSE;534;64.00.00;F;;
Thomas Straumann;5000.00.00;Switzerland;Dental implants;Healthcare;FALSE;534;59.00.00;M;;
Murat Ulker;5000.00.00;Turkey;Food;Food & Beverage;FALSE;534;64.00.00;M;;
Chip Wilson;5000.00.00;Canada;Lululemon;Fashion & Retail;TRUE;534;66.00.00;M;Chairman;
Zhu Yan & family;5000.00.00;China;Real estate;Real Estate;FALSE;534;52.00.00;F;;
Jim Davis & family;4900.00.00;United States;New Balance;Manufacturing;TRUE;552;79.00.00;M;Chairman;
Murali Divi & family;4900.00.00;India;Pharmaceuticals;Healthcare;TRUE;552;72.00.00;M;;
Dagmar Dolby & family;4900.00.00;United States;Dolby Laboratories;Technology;FALSE;552;81.00.00;F;;
Marcos Galperin;4900.00.00;Argentina;E-commerce;Technology;TRUE;552;;M;;
Tom Golisano;4900.00.00;United States;Payroll services;Service;TRUE;552;81.00.00;M;;
Jonathan Gray;4900.00.00;United States;Investments;Finance & Investments;TRUE;552;53.00.00;M;;
Bidzina Ivanishvili;4900.00.00;Georgia;Investments;Finance & Investments;TRUE;552;67.00.00;M;;
Lim Hariyanto Wijaya Sarwono;4900.00.00;Indonesia;Palm oil, nickel mining;Metals & Mining;TRUE;552;94.00.00;M;;
Rudolf Maag;4900.00.00;Switzerland;Medical devices;Healthcare;TRUE;552;77.00.00;M;;
Emanuele (Lino) Saputo & family;4900.00.00;Canada;Cheese;Food & Beverage;FALSE;552;86.00.00;M;Chairman;
Mark Shoen;4900.00.00;United States;U-Haul;Automotive;FALSE;552;72.00.00;M;;
Dan Snyder;4900.00.00;United States;Washington Commanders;Sports;TRUE;552;58.00.00;M;;
Chairul Tanjung;4900.00.00;Indonesia;Diversified;Diversified;TRUE;552;60.00.00;M;;
Kelcy Warren;4900.00.00;United States;Pipelines;Energy;TRUE;552;67.00.00;M;;
Zhang Tao;4900.00.00;Singapore;E-commerce;Fashion & Retail;TRUE;552;50.00.00;M;;
Michael Ashley;4800.00.00;United Kingdom;Sports retailing;Fashion & Retail;TRUE;567;58.00.00;M;;
Tomasz Biernacki;4800.00.00;Poland;Supermarkets;Fashion & Retail;TRUE;567;50.00.00;M;;
Bernard Broermann;4800.00.00;Germany;Hospitals;Healthcare;TRUE;567;79.00.00;M;;
Jimmy Haslam;4800.00.00;United States;Gas stations, retail;Fashion & Retail;FALSE;567;69.00.00;M;CEO;
H. Fisk Johnson;4800.00.00;United States;Cleaning products;Manufacturing;FALSE;567;64.00.00;M;;
S. Curtis Johnson;4800.00.00;United States;Cleaning products;Manufacturing;FALSE;567;67.00.00;M;;
Helen Johnson-Leipold;4800.00.00;United States;Cleaning products;Manufacturing;FALSE;567;66.00.00;F;;
Vinod Khosla;4800.00.00;United States;Venture capital;Technology;TRUE;567;68.00.00;M;Investor;
Thai Lee;4800.00.00;United States;IT provider;Technology;TRUE;567;64.00.00;F;;
Winifred J. Marquart;4800.00.00;United States;Cleaning products;Manufacturing;FALSE;567;63.00.00;F;;
Pankaj Patel;4800.00.00;India;Pharmaceuticals;Healthcare;FALSE;567;70.00.00;M;;
Horst Julius Pudwill;4800.00.00;Hong Kong;Manufacturing;Manufacturing;TRUE;567;78.00.00;M;;
Yu Yong;4800.00.00;China;Mining;Finance & Investments;TRUE;567;62.00.00;M;;
Maria Fernanda Amorim & family;4700.00.00;Portugal;Energy, investments;Diversified;FALSE;580;88.00.00;F;;
Gayle Benson;4700.00.00;United States;New Orleans Saints;Sports;FALSE;580;76.00.00;F;;
Jason Chang;4700.00.00;Taiwan;Electronics;Technology;TRUE;580;78.00.00;M;;
Ali Erdemoglu;4700.00.00;Turkey;Carpet;Manufacturing;TRUE;580;63.00.00;M;;
Andre Esteves;4700.00.00;Brazil;Banking;Finance & Investments;TRUE;580;54.00.00;M;;
Carlo Fidani;4700.00.00;Canada;Real estate;Real Estate;FALSE;580;68.00.00;M;Chairman;
Hong Ra-hee;4700.00.00;South Korea;Samsung;Technology;FALSE;580;77.00.00;F;;
Li Gaiteng;4700.00.00;China;Hair dryers;Manufacturing;TRUE;580;50.00.00;M;;
Thomas Secunda;4700.00.00;United States;Bloomberg LP;Media & Entertainment;TRUE;580;68.00.00;M;;
Zuowen Song;4700.00.00;China;Aluminum, diversified;Diversified;TRUE;580;76.00.00;M;;
Tim Sweeney;4700.00.00;United States;Video games;Media & Entertainment;TRUE;580;52.00.00;M;;
Bert Beveridge;4600.00.00;United States;Vodka;Food & Beverage;TRUE;591;61.00.00;M;;
Mark Cuban;4600.00.00;United States;Online media, Dallas Mavericks;Media & Entertainment;TRUE;591;64.00.00;M;Owner;
Charles Dolan & family;4600.00.00;United States;Cable television;Media & Entertainment;TRUE;591;96.00.00;M;Chairman and Founder;
Jack Dorsey;4600.00.00;United States;Twitter, Square;Technology;TRUE;591;46.00.00;M;Cofounder;
Fan Hongwei;4600.00.00;China;Petrochemicals;Energy;TRUE;591;56.00.00;F;;
Vladimir Kim;4600.00.00;Kazakhstan;Mining;Metals & Mining;TRUE;591;62.00.00;M;;
Andre Koo; Sr.;4600.00.00;Taiwan;Financial services;Finance & Investments;FALSE;591;55.00.00;M;
Ronald Lauder;4600.00.00;United States;Estee Lauder;Fashion & Retail;FALSE;591;79.00.00;M;;
Li Chunan;4600.00.00;China;Solar wafers and modules;Manufacturing;TRUE;591;54.00.00;M;;
Forrest Li;4600.00.00;Singapore;Gaming;Media & Entertainment;TRUE;591;45.00.00;M;;
Richard Li;4600.00.00;Hong Kong;Telecom;Telecom;FALSE;591;56.00.00;M;;
Doug Meijer & family;4600.00.00;United States;Supermarkets;Fashion & Retail;FALSE;591;69.00.00;M;;
Hank Meijer & family;4600.00.00;United States;Supermarkets;Fashion & Retail;FALSE;591;71.00.00;M;;
Mark Meijer & family;4600.00.00;United States;Supermarkets;Fashion & Retail;FALSE;591;65.00.00;M;;
Issad Rebrab & family;4600.00.00;Algeria;Food;Food & Beverage;TRUE;591;79.00.00;M;;
Fred Smith;4600.00.00;United States;FedEx;Logistics;TRUE;591;78.00.00;M;Chairman and CEO;
Barry Sternlicht;4600.00.00;United States;Private equity;Finance & Investments;TRUE;591;62.00.00;M;;
Maximilian Viessmann;4600.00.00;Germany;Heating, cooling equipment;Manufacturing;FALSE;591;34.00.00;M;;
Russ Weiner;4600.00.00;United States;Energy drinks;Food & Beverage;TRUE;591;52.00.00;M;;
Xue Min;4600.00.00;China;Healthcare;Healthcare;TRUE;591;66.00.00;M;;
Juan Domingo Beckmann Legorreta & family;4500.00.00;Mexico;Tequila;Food & Beverage;FALSE;611;55.00.00;M;;
Dietmar Hopp & family;4500.00.00;Germany;Software;Technology;TRUE;611;82.00.00;M;;
Jiang Bin;4500.00.00;China;Acoustic components;Technology;TRUE;611;56.00.00;M;;
Joseph Liemandt;4500.00.00;United States;Software;Technology;TRUE;611;54.00.00;M;;
Theo Mueller;4500.00.00;Switzerland;Dairy;Food & Beverage;FALSE;611;83.00.00;M;;
N.R. Narayana Murthy;4500.00.00;India;Software services;Technology;TRUE;611;76.00.00;M;;
Odd Reitan & family;4500.00.00;Norway;Retail, real estate;Fashion & Retail;FALSE;611;71.00.00;M;;
Marc Rowan;4500.00.00;United States;Private equity;Finance & Investments;TRUE;611;60.00.00;M;;
Hussain Sajwani;4500.00.00;United Arab Emirates;Real estate;Real Estate;TRUE;611;70.00.00;M;;
David Velez & family;4500.00.00;Brazil;Fintech;Finance & Investments;TRUE;611;41.00.00;M;;
Xu Jinfu & family;4500.00.00;China;Chemicals;Manufacturing;TRUE;611;59.00.00;M;;
Samuel Yin;4500.00.00;Taiwan;Retail;Diversified;FALSE;611;72.00.00;M;;
You Xiaoping & family;4500.00.00;China;Polyurethanes;Manufacturing;TRUE;611;65.00.00;M;;
Stéphane Bancel;4400.00.00;United States;Biotech, vaccines;Healthcare;TRUE;624;50.00.00;M;;
Margot Birmingham Perot;4400.00.00;United States;Computer services, real estate;Technology;FALSE;624;89.00.00;F;;
Neal Blue & family;4400.00.00;United States;Defense;Manufacturing;TRUE;624;88.00.00;M;;
Jim Davis;4400.00.00;United States;Staffing & recruiting;Service;TRUE;624;63.00.00;M;;
Rafael Del Pino;4400.00.00;Spain;Construction;Construction & Engineering;FALSE;624;64.00.00;M;;
Peter Grogg;4400.00.00;Switzerland;Biochemicals;Healthcare;TRUE;624;81.00.00;M;;
Christian Haub;4400.00.00;Germany;Retail;Fashion & Retail;FALSE;624;58.00.00;M;;
Mangal Prabhat Lodha;4400.00.00;India;Real estate;Real Estate;TRUE;624;67.00.00;M;;
Jeffrey Lurie & family;4400.00.00;United States;Philadelphia Eagles;Sports;FALSE;624;71.00.00;M;;
Joe Mansueto;4400.00.00;United States;Investment research;Finance & Investments;TRUE;624;66.00.00;M;Entrepreneur, Investor;
Qian Dongqi & family;4400.00.00;China;Home-cleaning robots;Manufacturing;TRUE;624;65.00.00;M;;
Mikhail Shelkov;4400.00.00;Russia;Titanium;Metals & Mining;TRUE;624;54.00.00;M;;
Patrick Drahi;4300.00.00;Switzerland;Telecom;Telecom;TRUE;636;59.00.00;M;;
Behdad Eghbali;4300.00.00;United States;Private equity;Finance & Investments;TRUE;636;46.00.00;M;;
Juan Carlos Escotet;4300.00.00;Spain;Banking;Finance & Investments;TRUE;636;63.00.00;M;;
Jose E. Feliciano;4300.00.00;United States;Private equity;Finance & Investments;TRUE;636;49.00.00;M;;
Hu Kaijun;4300.00.00;China;Pharmaceuticals;Healthcare;TRUE;636;61.00.00;M;;
Johnelle Hunt;4300.00.00;United States;Trucking;Logistics;TRUE;636;91.00.00;F;;
Marian Ilitch;4300.00.00;United States;Little Caesars Pizza;Food & Beverage;TRUE;636;90.00.00;F;;
Daryl Katz;4300.00.00;Canada;Pharmacies;Diversified;TRUE;636;61.00.00;M;Founder and Chairman;
Andrei Kozitsyn;4300.00.00;Russia;Metals;Metals & Mining;TRUE;636;62.00.00;M;;
Timur Kulibaev;4300.00.00;Kazakhstan;Banking;Finance & Investments;TRUE;636;56.00.00;M;;
Dinara Kulibaeva;4300.00.00;Kazakhstan;Banking;Finance & Investments;FALSE;636;55.00.00;F;;
Ian Livingstone;4300.00.00;;Real estate;Real Estate;TRUE;636;60.00.00;M;;
Richard Livingstone;4300.00.00;;Real estate;Real Estate;TRUE;636;58.00.00;M;;
Gwendolyn Sontheim Meyer;4300.00.00;United States;Cargill;Food & Beverage;FALSE;636;61.00.00;F;;
Jay Paul;4300.00.00;United States;Real estate;Real Estate;TRUE;636;75.00.00;M;;
Pham Nhat Vuong;4300.00.00;Vietnam;Diversified;Diversified;TRUE;636;54.00.00;M;;
Jon Stryker;4300.00.00;United States;Medical equipment;Healthcare;FALSE;636;64.00.00;M;;
Daniel Tsai;4300.00.00;Taiwan;Finance;Finance & Investments;FALSE;636;66.00.00;M;;
Richard Tsai;4300.00.00;Taiwan;Finance;Finance & Investments;FALSE;636;65.00.00;M;;
Frank Wang;4300.00.00;China;Drones;Technology;TRUE;636;42.00.00;M;Founder and CEO;
Wang Junshi & family;4300.00.00;China;Solar inverters;Manufacturing;TRUE;636;74.00.00;M;;
Wang Wenjing;4300.00.00;China;Business software;Technology;TRUE;636;58.00.00;M;;
Herbert Wertheim;4300.00.00;United States;Investments;Finance & Investments;TRUE;636;83.00.00;M;;
Shari Arison;4200.00.00;Israel;Carnival Cruises;Service;FALSE;659;65.00.00;F;Investor, Philanthropist;
Pyotr Aven;4200.00.00;Latvia;Oil, banking, telecom;Finance & Investments;TRUE;659;68.00.00;M;;
Chan Laiwa & family;4200.00.00;China;Real estate;Real Estate;TRUE;659;82.00.00;F;Philanthropist;
Chen Hua & family;4200.00.00;China;Real estate;Real Estate;TRUE;659;57.00.00;M;;
Thomas Hagen;4200.00.00;United States;Insurance;Finance & Investments;FALSE;659;87.00.00;M;;
Rupert Johnson; Jr.;4200.00.00;United States;Franklin Templeton;Finance & Investments;FALSE;659;82.00.00;M;Vice Chairman and Director
Dewi Kam;4200.00.00;Indonesia;Coal;Energy;TRUE;659;72.00.00;F;;
Min Kao & family;4200.00.00;United States;Navigation equipment;Technology;TRUE;659;74.00.00;M;;
Marc Ladreit de Lacharriere;4200.00.00;France;Finance;Finance & Investments;TRUE;659;82.00.00;M;;
Eric Lefkofsky;4200.00.00;United States;Groupon, investments;Technology;TRUE;659;53.00.00;M;Chairman;
Lin Bin;4200.00.00;China;Smartphones;Technology;TRUE;659;55.00.00;M;;
Lin Li;4200.00.00;China;Investments;Finance & Investments;TRUE;659;59.00.00;M;;
Michael Moritz;4200.00.00;United States;Venture capital;Technology;TRUE;659;68.00.00;M;Investor;
Jean (Gigi) Pritzker;4200.00.00;United States;Hotels, investments;Service;FALSE;659;60.00.00;F;;
E. Joe Shoen;4200.00.00;United States;U-Haul;Automotive;FALSE;659;73.00.00;M;;
Jeff Skoll;4200.00.00;United States;EBay;Technology;TRUE;659;58.00.00;M;;
Lynsi Snyder;4200.00.00;United States;In-N-Out Burger;Food & Beverage;FALSE;659;40.00.00;F;;
Djoko Susanto;4200.00.00;Indonesia;Supermarkets;Fashion & Retail;TRUE;659;73.00.00;M;;
Tahir & family;4200.00.00;Indonesia;Diversified;Diversified;TRUE;659;71.00.00;M;;
Peter Thiel;4200.00.00;United States;Facebook, investments;Finance & Investments;TRUE;659;55.00.00;M;Investor;
Andrej Babis;4100.00.00;Czech Republic;Agriculture;Food & Beverage;TRUE;679;68.00.00;M;;
Danielle Bellon & family;4100.00.00;France;Food services;Service;FALSE;679;83.00.00;F;;
Hubert Burda;4100.00.00;Germany;Publishing;Media & Entertainment;FALSE;679;83.00.00;M;;
Nick Caporella;4100.00.00;United States;Beverages;Food & Beverage;TRUE;679;87.00.00;M;;
John Catsimatidis;4100.00.00;United States;Oil, real estate;Energy;TRUE;679;74.00.00;M;;
Scott Cook;4100.00.00;United States;Software;Technology;TRUE;679;70.00.00;M;;
Luca Garavoglia;4100.00.00;Italy;Spirits;Food & Beverage;FALSE;679;54.00.00;M;;
Antti Herlin;4100.00.00;Finland;Elevators, escalators;Manufacturing;FALSE;679;66.00.00;M;;
Hong Jie;4100.00.00;China;Paint;Manufacturing;TRUE;679;55.00.00;M;;
Jeremy Jacobs; Sr. & family;4100.00.00;United States;Food service;Service;FALSE;679;83.00.00;M;
Igor Kesaev;4100.00.00;Russia;Tobacco distribution, retail;Fashion & Retail;TRUE;679;56.00.00;M;;
Mary Alice Dorrance Malone;4100.00.00;United States;Campbell Soup;Food & Beverage;FALSE;679;73.00.00;F;;
Joao Moreira Salles;4100.00.00;Brazil;Banking, minerals;Diversified;FALSE;679;61.00.00;M;;
Walther Moreira Salles Junior;4100.00.00;Brazil;Banking, minerals;Finance & Investments;FALSE;679;66.00.00;M;;
Arturo Moreno;4100.00.00;United States;Billboards, Los Angeles Angels;Sports;TRUE;679;76.00.00;M;;
Peter Spuhler;4100.00.00;Switzerland;Train cars;Manufacturing;TRUE;679;63.00.00;M;;
Donald Sterling;4100.00.00;United States;Real estate;Real Estate;TRUE;679;88.00.00;M;;
Kerry Stokes;4100.00.00;Australia;Construction equipment, media;Diversified;TRUE;679;82.00.00;M;;
Ken Xie;4100.00.00;United States;Cybersecurity;Technology;TRUE;679;60.00.00;M;;
Liangzhi Xie & family;4100.00.00;China;Biotech;Healthcare;TRUE;679;57.00.00;M;;
Sid Bass;4000.00.00;United States;Oil, investments;Energy;FALSE;699;80.00.00;M;;
Ben Chestnut;4000.00.00;United States;Email marketing;Technology;TRUE;699;48.00.00;M;;
Elisabeth DeLuca & family;4000.00.00;United States;Subway;Food & Beverage;FALSE;699;75.00.00;F;;
Guangchang Guo;4000.00.00;China;Conglomerate;Diversified;TRUE;699;56.00.00;M;;
Vinod Rai Gupta;4000.00.00;India;Electrical equipment;Manufacturing;FALSE;699;77.00.00;F;;
John Henry;4000.00.00;United States;Sports;Sports;TRUE;699;73.00.00;M;;
Travis Kalanick;4000.00.00;United States;Uber;Technology;TRUE;699;46.00.00;M;Cofounder;
Koon Poh Keong;4000.00.00;Malaysia;Aluminum;Manufacturing;TRUE;699;61.00.00;M;;
Dan Kurzius;4000.00.00;United States;Email marketing;Technology;TRUE;699;51.00.00;M;;
Paul Lee;4000.00.00;China;Battery separators;Manufacturing;TRUE;699;65.00.00;M;;
Tobi Lutke;4000.00.00;Canada;E-commerce;Technology;TRUE;699;42.00.00;M;;
Gail Miller;4000.00.00;United States;Car dealerships;Automotive;TRUE;699;79.00.00;F;;
Rajan Mittal;4000.00.00;India;Telecom;Telecom;FALSE;699;63.00.00;M;;
Rakesh Mittal;4000.00.00;India;Telecom;Telecom;FALSE;699;67.00.00;M;;
Isaac Perlmutter;4000.00.00;United States;Marvel comics;Media & Entertainment;TRUE;699;80.00.00;M;Chairman;
Bernard Saul; II.;4000.00.00;United States;Banking, real estate;Finance & Investments;FALSE;699;90.00.00;M;Chairman and CEO
Shaul Shani;4000.00.00;Italy;Telecom;Telecom;TRUE;699;68.00.00;M;;
Steven Spielberg;4000.00.00;United States;Movies;Media & Entertainment;TRUE;699;76.00.00;M;;
Jerzy Starak;4000.00.00;Poland;Pharmaceuticals;Healthcare;TRUE;699;75.00.00;M;;
Torbjorn Tornqvist;4000.00.00;Switzerland;Oil trading;Energy;TRUE;699;69.00.00;M;;
Rufino Vigil Gonzalez;4000.00.00;Mexico;Steel;Metals & Mining;TRUE;699;74.00.00;M;;
Zhang Daocai;4000.00.00;China;Valves;Diversified;TRUE;699;73.00.00;M;;
Juergen Blickle;3900.00.00;Germany;Auto parts;Manufacturing;FALSE;721;76.00.00;M;;
Austen Cargill; II.;3900.00.00;United States;Cargill;Food & Beverage;FALSE;721;72.00.00;M;
James Cargill; II.;3900.00.00;United States;Cargill;Food & Beverage;FALSE;721;73.00.00;M;
Vanich Chaiyawan;3900.00.00;Thailand;Insurance, beverages;Finance & Investments;TRUE;721;91.00.00;M;;
Chen Dongsheng;3900.00.00;China;Insurance;Finance & Investments;TRUE;721;65.00.00;M;;
Mong-Koo Chung;3900.00.00;South Korea;Hyundai;Automotive;FALSE;721;85.00.00;M;;
Kenneth Dart;3900.00.00;Cayman Islands;Investments;Finance & Investments;FALSE;721;67.00.00;M;;
Giuseppe De'Longhi & family;3900.00.00;Italy;Coffee makers;Fashion & Retail;FALSE;721;83.00.00;M;;
Guenther Fielmann & family;3900.00.00;Germany;Optometry;Healthcare;TRUE;721;83.00.00;M;;
W. Herbert Hunt;3900.00.00;United States;Oil;Energy;FALSE;721;94.00.00;M;Investor;
James Irsay;3900.00.00;United States;Indianapolis Colts;Sports;FALSE;721;63.00.00;M;CEO;
Somurai Jaruphnit;3900.00.00;Thailand;Diversified;Diversified;FALSE;721;;F;;
Marianne Liebmann;3900.00.00;United States;Cargill;Food & Beverage;FALSE;721;69.00.00;F;;
Jorge Moll Filho & family;3900.00.00;Brazil;Hospitals;Healthcare;TRUE;721;78.00.00;M;;
Fernando Roberto Moreira Salles;3900.00.00;Brazil;Banking, minerals;Diversified;FALSE;721;76.00.00;M;;
Pedro Moreira Salles;3900.00.00;Brazil;Banking, minerals;Diversified;FALSE;721;63.00.00;M;;
Gabe Newell;3900.00.00;United States;Videogames;Gambling & Casinos;TRUE;721;60.00.00;M;Cofounder and CEO;
Alfred Oetker;3900.00.00;Germany;Consumer goods;Fashion & Retail;FALSE;721;56.00.00;M;;
Carl Ferdinand Oetker;3900.00.00;Germany;Consumer goods;Fashion & Retail;FALSE;721;50.00.00;M;;
Julia Oetker;3900.00.00;Germany;Consumer goods;Fashion & Retail;FALSE;721;44.00.00;F;;
Ruan Hongliang & family;3900.00.00;China;Glass;Manufacturing;TRUE;721;62.00.00;M;;
Mark Stevens;3900.00.00;United States;Venture capital;Finance & Investments;TRUE;721;63.00.00;M;;
Tsai Hong-tu;3900.00.00;Taiwan;Finance;Finance & Investments;FALSE;721;70.00.00;M;;
Nusli Wadia;3900.00.00;India;Consumer goods;Food & Beverage;FALSE;721;79.00.00;M;;
Wu Yiling;3900.00.00;China;Pharmaceuticals;Healthcare;TRUE;721;73.00.00;M;;
Yu Renrong;3900.00.00;China;Semiconductors;Manufacturing;TRUE;721;57.00.00;M;;
Zhu Baoguo & family;3900.00.00;China;Pharmaceuticals;Healthcare;TRUE;721;60.00.00;M;;
Rahul Bhatia;3800.00.00;India;Aviation;Service;FALSE;748;63.00.00;M;;
Francesco Gaetano Caltagirone;3800.00.00;Italy;Cement, diversified;Construction & Engineering;TRUE;748;80.00.00;M;;
Barry Diller;3800.00.00;United States;Online media;Media & Entertainment;TRUE;748;81.00.00;M;;
Wesley Edens;3800.00.00;United States;Investments;Finance & Investments;TRUE;748;61.00.00;M;;
Stephen Feinberg;3800.00.00;United States;Private equity;Finance & Investments;TRUE;748;63.00.00;M;Co-founder and CEO;
Rakesh Gangwal;3800.00.00;United States;Airline;Service;TRUE;748;69.00.00;M;;
Joseph Grendys;3800.00.00;United States;Poultry processing;Food & Beverage;TRUE;748;61.00.00;M;;
Martha Ingram & family;3800.00.00;United States;Book distribution, transportation;Media & Entertainment;FALSE;748;87.00.00;F;Former Chairman;
Li Xiang;3800.00.00;China;Electric vehicles;Automotive;TRUE;748;41.00.00;M;;
H. Ross Perot; Jr.;3800.00.00;United States;Real estate;Real Estate;FALSE;748;64.00.00;M;
Chandru Raheja;3800.00.00;India;Real estate;Real Estate;FALSE;748;82.00.00;M;;
Trevor Rees-Jones;3800.00.00;United States;Oil & gas;Energy;TRUE;748;71.00.00;M;;
Yasumitsu Shigeta;3800.00.00;Japan;Mobile phone retailer;Telecom;TRUE;748;58.00.00;M;;
Su Qingcan;3800.00.00;China;Healthcare;Healthcare;TRUE;748;54.00.00;M;;
Tsai Cheng-ta;3800.00.00;Taiwan;Finance;Finance & Investments;FALSE;748;73.00.00;M;;
Steven Udvar-Hazy;3800.00.00;United States;Aircraft leasing;Service;TRUE;748;77.00.00;M;CEO and Chairman;
Elizabeth Uihlein;3800.00.00;United States;Packaging materials;Manufacturing;TRUE;748;77.00.00;F;Entrepreneur;
Richard Uihlein;3800.00.00;United States;Packaging materials;Manufacturing;TRUE;748;77.00.00;M;;
Hayes Barnard;3700.00.00;United States;Fintech;Finance & Investments;TRUE;766;51.00.00;M;;
William Berkley;3700.00.00;United States;Insurance;Finance & Investments;TRUE;766;76.00.00;M;Chairman and CEO;
Charles Cohen;3700.00.00;United States;Real estate;Real Estate;FALSE;766;71.00.00;M;;
Yakir Gabay;3700.00.00;United Kingdom;Real estate;Real Estate;TRUE;766;56.00.00;M;;
Huang Li;3700.00.00;China;Imaging systems;Technology;TRUE;766;59.00.00;M;;
Brad Jacobs;3700.00.00;United States;Logistics;Logistics;TRUE;766;66.00.00;M;;
Ji Qi;3700.00.00;China;Hotels, motels;Real Estate;TRUE;766;56.00.00;M;;
Jason Jiang;3700.00.00;China;Advertising;Media & Entertainment;TRUE;766;50.00.00;M;;
Jim Kavanaugh;3700.00.00;United States;IT provider;Technology;TRUE;766;60.00.00;M;;
Richard LeFrak & family;3700.00.00;United States;Real estate;Real Estate;FALSE;766;77.00.00;M;;
Mikhail Lomtadze;3700.00.00;Kazakhstan;Fintech;Finance & Investments;TRUE;766;47.00.00;M;;
Tom Morris;3700.00.00;United Kingdom;Retail;Fashion & Retail;TRUE;766;68.00.00;M;;
Shigenobu Nagamori;3700.00.00;Japan;Motors;Manufacturing;TRUE;766;78.00.00;M;;
